Numer zamówienia;Zleceniodawca;Model telefonu;Rodzaj sesji (wykorzystywana technologia radiowa);Badane pasmo 5G;Dodatkowe pasmo 5G;Badane pasmo 4G;D³ugoœæ trwania sesji (badania poszczególnych  funkcji) [tyg];Po¿¹dany tydzieñ zakoñczenia sesji [tyg];Alternatywna lokalizacja testow
1;OnePlus;9s;Non-Standalone (NSA);n77;n78;-;3;12;Ulm
2;Apple;13;Non-Standalone (NSA);n77;-;b77;4;8;Dallas
3;Oppo;9X;Standalone (SA);n40;n41;-;6;9;Ulm
4;Xiaomi;12 pro;Non-Standalone (NSA);n47;-;b47;8;10;Pekin
5;OnePlus;7;Standalone (SA);n20;n28;b28;4;12;Dallas
6;Samsung;21;Standalone (SA);n1;n3;-;2;14;Kraków
7;Vivo;x60;Non-Standalone (NSA);n14;-;-;3;4;Pekin
8;Apple;12 pro;Standalone (SA);n8;-;b8;6;12;Ulm
9;Samsung;Ultra;Non-Standalone (NSA);n1;n28;-;4;24;Kraków
10;Samsung;S22;Standalone (SA);n41;-;-;4;52;Pekin
11;OnePlus;9s;Standalone (SA);n8;-;b1;3;10;Ulm
12;Apple;14;Standalone (SA);n41;-;-;4;16;Dallas
13;Oppo;9X;Standalone (SA);n1;n5;-;4;14;Ulm
14;Xiaomi;13 pro;Standalone (SA);n14;-;b14;6;16;Pekin
15;OnePlus;35;Standalone (SA);n40;n41;b40;3;11;Dallas
16;Samsung;49;Standalone (SA);n77;n78;-;5;9;Kraków
17;Vivo;x61;Standalone (SA);n47;-;b40;3;5;Pekin
18;Apple;13 pro;Standalone (SA);n41;-;b41;2;12;Ulm
19;Samsung;Ultra;Standalone (SA);n41;-;-;6;10;Kraków
20;Samsung;S23;Standalone (SA);n77;-;b77;4;48;Pekin
21;OnePlus;9s;Standalone (SA);n28;n20;-;4;14;Ulm
22;Apple;S23;Standalone (SA);n14;-;b1;3;9;Dallas
23;Oppo;9s;Standalone (SA);n5;n8;-;6;24;Ulm
24;Oppo;15;Standalone (SA);n1;-;b1;5;15;Pekin
25;Xiaomi;9X;Standalone (SA);n28;n20;-;3;25;Dallas
26;OnePlus;14 pro;Standalone (SA);n1;n5;b3;6;45;Kraków
27;Samsung;63;Standalone (SA);n3;-;b3;4;15;Pekin
28;Vivo;77;Standalone (SA);n1;n14;-;5;16;Ulm
29;Apple;x62;Standalone (SA);n40;n41;-;3;21;Kraków
30;Samsung;14 pro;Standalone (SA);n3;n8;b8;4;10;Pekin
31;Samsung;Ultra;Standalone (SA);n78;n78;-;2;18;Ulm
32;OnePlus;S24;Standalone (SA);n77;-;b77;3;25;Dallas
33;Apple;9s;Standalone (SA);n1;n3;b3;2;41;Ulm
34;Oppo;S24;Standalone (SA);n5;n20;-;4;17;Pekin
35;Oppo;9s;Standalone (SA);n1;n28;b28;2;32;Dallas
36;Xiaomi;16;Standalone (SA);n14;-;b3;4;39;Kraków
37;OnePlus;9X;Standalone (SA);n1;n5;-;6;53;Pekin
38;Samsung;15 pro;Standalone (SA);n1;-;-;4;28;Ulm
39;Vivo;91;Standalone (SA);n3;n20;-;6;31;Kraków
40;Apple;105;Standalone (SA);n14;-;b14;3;52;Pekin
41;Samsung;x63;Standalone (SA);n20;-;b20;5;10;Ulm
42;Samsung;15 pro;Standalone (SA);n41;n47;-;4;8;Dallas
43;OnePlus;Ultra;Standalone (SA);n77;n78;b77;3;6;Ulm
44;Apple;S25;Standalone (SA);n47;-;b47;3;8;Pekin
45;Oppo;9s;Standalone (SA);n40;-;b40;4;25;Dallas
46;Oppo;S25;Standalone (SA);n20;n8;-;6;28;Kraków
47;Xiaomi;9s;Standalone (SA);n14;-;b3;4;31;Pekin
48;OnePlus;17;Standalone (SA);n1;n5;-;5;28;Ulm
49;Samsung;9X;Standalone (SA);n5;n8;b5;6;30;Kraków
50;Vivo;16 pro;Standalone (SA);n14;n20;-;3;10;Pekin
51;OnePlus;x63;Standalone (SA);n20;n8;-;2;12;
52;Samsung;15 pro;Standalone (SA);n14;-;b3;3;20;
53;Vivo;Ultra;Standalone (SA);n1;n5;-;3;25;
54;Apple;S25;Standalone (SA);n1;-;-;4;31;
55;Samsung;9s;Standalone (SA);n3;n20;-;5;14;
56;Samsung;S25;Standalone (SA);n14;-;b14;3;9;
